Movie Name,Tomatometer,Audience Score
Wolfs,67%,72%
Christopher - A Beautiful Real Life,N/A,N/A
Anyone But You,53%,87%
Strange Darling,96%,85%
28 Days Later,87%,85%
Sharp Corner,92%,53%
A Nice Indian Boy,96%,97%
Flow,97%,98%
Poor Things,92%,80%
Wrath of Man,68%,90%
The Suicide Squad,90%,82%
You Hurt My Feelings,94%,64%
Sunday Best,100%,N/A
Shang-Chi and the Legend of the Ten Rings,92%,98%
Little Bites,81%,34%
Us,93%,61%
The Holdovers,97%,92%
Avengers: Infinity War,85%,92%
White Noise,7%,31%
The House,20%,35%
Blink Twice,75%,71%
Abigail,83%,83%
Mission: Impossible - Dead Reckoning Part One,96%,94%
L.A. Confidential,99%,94%
The Iron Claw,89%,94%
I'm Still Here,97%,97%
Bob Trevino Likes It,95%,98%
Killers of the Flower Moon,93%,84%
Once Upon a Time... In Hollywood,86%,70%
Prometheus,73%,68%
The Toxic Avenger,71%,64%
War of the Worlds,76%,42%
The Shawshank Redemption,89%,98%
It's What's Inside,79%,69%
Let the Right One In,98%,90%
Top Gun: Maverick,96%,99%
The Old Guard 2,27%,33%
Black Widow,79%,91%
One of Them Days,94%,90%
Thor: Love and Thunder,63%,76%
Wicked,88%,95%
We Live in Time,79%,83%
Glass Onion: A Knives Out Mystery,91%,92%
The Incredible Hulk,68%,69%
Emmanuelle,38%,43%
The Return,78%,76%
Terrifier 3,78%,85%
The Ritual,9%,49%
When Evil Lurks,96%,79%
Titanic,88%,69%
Good Will Hunting,97%,94%
Back to the Future,93%,95%
Winter Spring Summer or Fall,33%,75%
Inglourious Basterds,89%,88%
Downwind,100%,78%
Smile 2,86%,81%
Iron Man,94%,91%
Seven,84%,95%
Everything Everywhere All at Once,93%,79%
Emily the Criminal,93%,79%
Deep Water,35%,25%
Trap,57%,64%
Spider-Man: Across the Spider-Verse,95%,95%
Heart Eyes,78%,76%
Coherence,89%,81%
Fixed,58%,43%
STRAW,55%,70%
Inception,87%,91%
Nope,83%,69%
Kandahar,45%,82%
Shutter Island,69%,77%
The Wonder,85%,72%
Millionaire,N/A,N/A
The Count of Monte Cristo,97%,94%
Madame Web,10%,53%
Dead Poets Society,84%,92%
Plane,78%,94%
Breaking News in Yuba County,11%,47%
The Handmaiden,96%,91%
Batman v Superman: Dawn of Justice,28%,63%
The Curse of La Llorona,26%,35%
The Menu,88%,76%
Fight or Flight,76%,75%
Annabelle Comes Home,64%,70%
Fight Club,81%,96%
Annabelle,28%,35%
Woman of the Hour,91%,68%
Girl in the Basement,N/A,59%
Love Untangled,N/A,N/A
Zack Snyder's Justice League,71%,92%
Dune: Part Two,92%,95%
Civil War,81%,69%
When I Consume You,89%,44%
Tenet,70%,76%
Freaky Friday,88%,58%
The Alto Knights,39%,70%
Vice Is Broke,60%,N/A
The Power of the Dog,94%,76%
I Saw the TV Glow,85%,71%
The Fall Guy,82%,84%
Prisoners,81%,87%
The Life List,46%,72%
